"","Longitude","Time","Humidity","Temperature","Windspeed","Soundvalue","Lux","Distance","Latitude"
"40",7.575373," 11:24:46",45,2,0.01,99,3335,0,51.975173
"41",7.575373," 11:24:51",46,2,0.01,108,3335,0,51.975173
"42",7.575373," 11:24:51",45,2,0.01,108,3335,0,51.975173
"43",7.575373," 11:24:55",46,2,0.4,167,3330,0,51.975173
"44",7.575373," 11:24:55",46,2,0.4,167,3330,0,51.975173
"45",7.575373," 11:25:0",45,2,0.2,98,3328,14,51.975173
"46",7.575373," 11:25:0",45,2,0.2,98,3328,15,51.975173
"47",7.575373," 11:25:5",46,2,0.11,100,3329,15,51.975173
"48",7.575373," 11:25:5",45,2,0.11,100,3329,14,51.975173
"49",7.575373," 11:25:9",46,2,0.01,163,3331,1,51.975173
"50",7.575373," 11:25:9",45,2,0.01,163,3331,14,51.975124
"51",7.575453," 11:25:13",45,2,0.2,143,3334,1,51.975124
"52",7.575453," 11:25:13",46,2,0.2,143,3334,15,51.975124
"53",7.575455," 11:25:18",45,2,0.2,97,3335,15,51.975124
"54",7.575455," 11:25:18",46,2,0.2,97,3335,14,51.975124
"55",7.575455," 11:25:23",45,2,0.11,102,3335,15,51.975124
"56",7.575455," 11:25:23",45,2,0.11,102,3335,1,51.975124
"57",7.575455," 11:25:28",46,2,0.01,102,3336,14,51.975124
"58",7.575455," 11:25:28",45,2,0.01,102,3336,15,51.975124
"59",7.575455," 11:25:33",46,2,-0.19,107,3331,1,51.975124
"60",7.575455," 11:25:33",45,2,-0.19,107,3331,2,51.975124
"61",7.575455," 11:25:37",45,2,0.01,165,3329,6,51.975124
"62",7.575455," 11:25:37",46,2,0.01,165,3329,1,51.975124
"63",7.575455," 11:25:42",45,2,0.11,100,3325,6,51.975124
"64",7.575455," 11:25:42",46,2,0.11,100,3325,9,51.975124
"65",7.575455," 11:25:47",45,2,0.01,96,3325,6,51.975124
"66",7.575455," 11:25:47",45,2,0.01,96,3325,8,51.975124
"67",7.575455," 11:25:51",46,2,0.11,163,3323,6,51.975124
"68",7.575488," 16:15:42",45,2,0.01,114,5,8,51.974868
"69",7.575488," 16:15:47",46,2,-0.09,104,4,5,51.974868
"70",7.575488," 16:15:47",45,2,-0.09,104,4,4,51.974868
"71",7.575488," 16:15:52",46,2,-0.19,110,4,10,51.974868
"72",7.575488," 16:15:52",45,2,-0.19,110,4,3,51.974868
"73",7.575488," 16:15:57",45,2,-0.09,115,4,2,51.974868
"74",7.575488," 16:15:57",46,2,-0.09,115,4,2,51.974868
"75",7.575488," 16:16:2",45,2,-0.09,105,4,1,51.974868
"76",7.575488," 16:16:2",46,2,-0.09,105,4,5,51.974868
"77",7.575488," 16:16:7",46,2,-0.09,102,4,6,51.974868
"78",7.575488," 16:16:7",45,2,-0.09,102,4,10,51.974868
"79",7.575488," 16:16:12",45,2,-0.09,105,4,11,51.974868
"80",7.575488," 16:16:12",46,2,-0.09,105,4,4,51.974868
"81",7.575488," 16:16:17",45,2,-0.09,109,4,2,51.974868
"82",7.575488," 16:16:17",46,2,-0.09,109,4,0,51.974868
"83",7.575488," 16:16:22",45,2,-0.09,116,5,0,51.974868
"84",7.575488," 16:16:22",45,2,-0.09,116,5,10,51.974868
"85",7.575488," 16:16:27",46,2,-0.29,109,5,9,51.974868
"86",7.575488," 16:16:27",45,2,-0.29,109,5,5,51.974918
"87",7.575285," 16:16:32",46,2,-0.09,97,4,4,51.974918
"88",7.575285," 16:16:32",45,2,-0.09,97,4,2,51.974933
"89",7.575277," 16:16:37",45,2,-0.19,125,4,4,51.974933
"90",7.575277," 16:16:37",46,2,-0.19,125,4,0,51.974933
